Country,Year,Barley and products Food,Barley and products Production,Barley and products Import Quantity,Barley and products Export Quantity
Russian Federation,1960,208.0,6135.5,121.0,365.0
Russian Federation,1961,236.0,8992.5,135.0,407.0
Russian Federation,1962,241.0,9110.0,129.0,467.0
Russian Federation,1963,241.0,13155.0,155.0,594.0
Russian Federation,1964,242.0,9340.0,147.0,666.0
Russian Federation,1965,244.0,12824.5,180.0,2068.0
Russian Federation,1966,241.0,11344.5,171.0,290.0
Russian Federation,1967,236.0,13296.0,167.0,452.0
Russian Federation,1968,241.0,15020.0,169.0,614.0
Russian Federation,1969,246.0,17559.0,148.0,748.0
Russian Federation,1970,245.0,15916.0,167.0,503.0
Russian Federation,1971,244.0,16928.0,213.0,688.0
Russian Federation,1972,246.0,25300.0,265.0,298.0
Russian Federation,1973,255.0,24935.5,202.0,276.0
Russian Federation,1974,265.0,16468.0,138.0,924.0
Russian Federation,1975,270.0,21970.0,113.0,818.0
Russian Federation,1976,275.0,24242.0,243.0,503.0
Russian Federation,1977,284.0,28566.0,115.0,606.0
Russian Federation,1978,285.0,22163.5,102.0,500.0
Russian Federation,1979,283.0,20052.0,140.0,260.0
Russian Federation,1980,265.0,16665.0,230.0,460.0
Russian Federation,1981,253.0,20167.5,488.0,430.0
Russian Federation,1982,255.0,23500.0,296.0,360.0
Russian Federation,1983,236.0,19480.0,203.0,370.0
Russian Federation,1984,296.0,21550.0,140.0,410.0
Russian Federation,1985,297.0,24745.0,395.0,225.0
Russian Federation,1986,198.0,26671.0,367.0,420.0
Russian Federation,1987,198.0,20272.5,303.0,390.0
Russian Federation,1988,198.0,22429.5,237.0,400.0
Russian Federation,1989,198.0,26267.5,359.0,330.0
Russian Federation,1990,198.0,20754.0,352.0,630.0
Russian Federation,1991,198.0,23543.0,467.0,430.0
Russian Federation,1992,99.0,26989.0,470.0,267.0
Russian Federation,1993,105.0,26843.0,660.0,434.0
Russian Federation,1994,108.0,27054.0,602.0,526.0
Russian Federation,1995,118.0,15786.0,689.0,1606.0
Russian Federation,1996,108.0,15933.0,821.0,1209.0
Russian Federation,1997,111.0,20786.0,785.0,1303.0
Russian Federation,1998,133.0,9798.0,467.0,1353.0
Russian Federation,1999,129.0,10603.0,1089.0,1010.0
Russian Federation,2000,135.0,14079.0,1380.0,1247.0
Russian Federation,2001,141.0,19535.0,979.0,1521.0
Russian Federation,2002,146.0,18739.0,577.0,3030.0
Russian Federation,2003,160.0,18003.0,996.0,3103.0
Russian Federation,2004,130.0,17180.0,740.0,959.0
Russian Federation,2005,130.0,15791.0,559.0,1774.0
Russian Federation,2006,133.0,18037.0,395.0,1328.0
Russian Federation,2007,138.0,15559.0,476.0,1955.0
Russian Federation,2008,139.0,23148.0,296.0,1529.0
Russian Federation,2009,127.0,17881.0,126.0,3563.0
Russian Federation,2010,127.0,8350.0,225.0,1578.0
Russian Federation,2011,131.0,16938.0,508.0,2097.0
Russian Federation,2012,128.0,13952.0,736.0,3453.0
Russian Federation,2013,148.0,15389.0,489.0,2361.0
Russian Federation,2014,102.0,20444.0,367.0,4038.0
Russian Federation,2015,92.0,17546.0,206.0,5391.0
Russian Federation,2016,110.0,17967.0,370.0,2946.0
Russian Federation,2017,123.0,20629.0,407.0,4694.0
Russian Federation,2018,232.0,16992.0,258.0,5601.0
Russian Federation,2019,233.0,20489.0,220.0,4145.0
Russian Federation,2020,225.0,20939.0,190.0,5215.0
