Country,Year,Bovine Meat Food,Bovine Meat Import Quantity,Bovine Meat Export Quantity,Peoples,ElValue
Russian Federation,1992,4267.0,655.0,14.0,148725601,14904.3
Russian Federation,1993,4002.0,659.0,9.0,148897270,14892.0
Russian Federation,1994,3823.0,607.0,8.0,148829113,15465.2
Russian Federation,1995,3350.0,630.0,3.0,148557451,15602.2
Russian Federation,1996,3205.0,605.0,17.0,148233411,15503.6
Russian Federation,1997,3223.0,846.0,15.0,147939972,15793.7
Russian Federation,1998,2924.0,688.0,6.0,147672728,15842.6
Russian Federation,1999,2510.0,647.0,3.0,147336388,16031.4
Russian Federation,2000,2216.0,332.0,8.0,146844839,16983.2
Russian Federation,2001,2388.0,526.0,7.0,146235530,16970.6
Russian Federation,2002,2545.0,597.0,7.0,145590136,17021.5
Russian Federation,2003,2588.0,611.0,9.0,144946723,17036.9
Russian Federation,2004,2535.0,596.0,9.0,144353636,17004.2
Russian Federation,2005,2588.0,809.0,11.0,143800049,16908.4
Russian Federation,2006,2467.0,772.0,8.0,143338669,16769.3
Russian Federation,2007,2519.0,839.0,8.0,143117693,16180.4
Russian Federation,2008,2714.0,960.0,10.0,143086549,15524.1
Russian Federation,2009,2499.0,773.0,8.0,143163643,14830.1
Russian Federation,2010,2464.0,747.0,6.0,143242599,15885.0
Russian Federation,2011,2330.0,716.0,6.0,143364543,15525.1
Russian Federation,2012,2444.0,815.0,8.0,143629362,15278.2
Russian Federation,2013,2425.0,807.0,9.0,143956866,15286.5
Russian Federation,2014,2282.0,642.0,10.0,144285070,15947.4
Russian Federation,2015,2078.0,445.0,9.0,144668389,16756.8
Russian Federation,2016,1948.0,374.0,10.0,145109157,17161.9
Russian Federation,2017,1923.0,369.0,11.0,145452536,18171.1
Russian Federation,2018,1942.0,356.0,13.0,145652293,18797.7
Russian Federation,2019,1917.0,313.0,14.0,145742286,19708.5
Russian Federation,2020,1878.0,272.0,26.0,145617329,19739.9
