Country,Year,Eggs Food,Eggs Production,Eggs Import Quantity,Eggs Export Quantity,Peoples,ElValue
Russian Federation,1992,2193.0,2413.0,8.0,11.0,148725601,14904.3
Russian Federation,1993,2085.0,2266.0,2.0,11.0,148897270,14892.0
Russian Federation,1994,1968.0,2099.0,8.0,7.0,148829113,15465.2
Russian Federation,1995,1783.0,1898.0,14.0,3.0,148557451,15602.2
Russian Federation,1996,1686.0,1790.0,7.0,3.0,148233411,15503.6
Russian Federation,1997,1753.0,1805.0,17.0,2.0,147939972,15793.7
Russian Federation,1998,1825.0,1835.0,66.0,7.0,147672728,15842.6
Russian Federation,1999,1837.0,1857.0,61.0,7.0,147336388,16031.4
Russian Federation,2000,1862.0,1903.0,5.0,11.0,146844839,16983.2
Russian Federation,2001,1923.0,1971.0,11.0,7.0,146235530,16970.6
Russian Federation,2002,1981.0,2033.0,9.0,7.0,145590136,17021.5
Russian Federation,2003,1986.0,2045.0,9.0,9.0,144946723,17036.9
Russian Federation,2004,1942.0,2005.0,11.0,9.0,144353636,17004.2
Russian Federation,2005,2002.0,2065.0,17.0,6.0,143800049,16908.4
Russian Federation,2006,2041.0,2118.0,21.0,15.0,143338669,16769.3
Russian Federation,2007,2046.0,2143.0,22.0,15.0,143117693,16180.4
Russian Federation,2008,2038.0,2135.0,21.0,12.0,143086549,15524.1
Russian Federation,2009,2094.0,2210.0,18.0,17.0,143163643,14830.1
Russian Federation,2010,2153.0,2274.0,23.0,13.0,143242599,15885.0
Russian Federation,2011,2177.0,2305.0,27.0,13.0,143364543,15525.1
Russian Federation,2012,2252.0,2365.0,65.0,19.0,143629362,15278.2
Russian Federation,2013,2204.0,2317.0,71.0,19.0,143956866,15286.5
Russian Federation,2014,2227.0,2349.0,96.0,15.0,144285070,15947.4
Russian Federation,2015,2238.0,2388.0,99.0,15.0,144668389,16756.8
Russian Federation,2016,2278.0,2444.0,98.0,18.0,145109157,17161.9
Russian Federation,2017,2339.0,2519.0,92.0,30.0,145452536,18171.1
Russian Federation,2018,2407.0,2519.0,94.0,37.0,145652293,18797.7
Russian Federation,2019,2427.0,2515.0,119.0,38.0,145742286,19708.5
Russian Federation,2020,2410.0,2519.0,97.0,36.0,145617329,19739.9
