Country,Year,Meat Food,Meat Production,Meat Import Quantity,Meat Export Quantity
Russian Federation,1960,7323.0,7243.0,669.0,4.0
Russian Federation,1961,7313.0,7313.0,671.0,3.0
Russian Federation,1962,7279.0,7285.0,694.0,1.0
Russian Federation,1963,6859.0,7266.0,710.0,7.0
Russian Federation,1964,6242.0,7245.0,740.0,7.0
Russian Federation,1965,6191.0,7187.0,768.0,3.0
Russian Federation,1966,6482.0,7184.0,772.0,3.0
Russian Federation,1967,6879.0,7386.0,760.0,4.0
Russian Federation,1968,7207.0,7610.0,761.0,7.0
Russian Federation,1969,7260.0,7872.0,750.0,4.0
Russian Federation,1970,7256.0,8269.0,741.0,12.0
Russian Federation,1971,7252.0,8264.0,735.0,14.0
Russian Federation,1972,7299.0,8306.0,748.0,17.0
Russian Federation,1973,7309.0,8324.0,756.0,17.0
Russian Federation,1974,7310.0,8426.0,752.0,22.0
Russian Federation,1975,7332.0,8538.0,761.0,28.0
Russian Federation,1976,8296.0,8723.0,781.0,26.0
Russian Federation,1977,8283.0,9299.0,783.0,30.0
Russian Federation,1978,8276.0,9290.0,784.0,20.0
Russian Federation,1979,8321.0,9332.0,799.0,18.0
Russian Federation,1980,8452.0,9259.0,893.0,17.0
Russian Federation,1981,8750.0,9252.0,991.0,17.0
Russian Federation,1982,9234.0,9240.0,1001.0,14.0
Russian Federation,1983,9251.0,9246.0,912.0,18.0
Russian Federation,1984,9238.0,9246.0,853.0,7.0
Russian Federation,1985,9259.0,9808.0,785.0,11.0
Russian Federation,1986,9262.0,9670.0,682.0,12.0
Russian Federation,1987,9269.0,9243.0,674.0,5.0
Russian Federation,1988,9279.0,8826.0,682.0,12.0
Russian Federation,1989,9284.0,8164.0,706.0,10.0
Russian Federation,1990,9241.0,8954.0,721.0,8.0
Russian Federation,1991,9243.0,8543.0,718.0,3.0
Russian Federation,1992,9107.0,8260.0,882.0,1.0
Russian Federation,1993,8753.0,7513.0,1267.0,2.0
Russian Federation,1994,8177.0,6803.0,1600.0,18.0
Russian Federation,1995,7893.0,5796.0,2102.0,13.0
Russian Federation,1996,7408.0,5336.0,1984.0,47.0
Russian Federation,1997,7236.0,4854.0,2786.0,38.0
Russian Federation,1998,6956.0,4703.0,2360.0,19.0
Russian Federation,1999,6024.0,4333.0,1402.0,10.0
Russian Federation,2000,5850.0,4440.0,1301.0,25.0
Russian Federation,2001,6663.0,4451.0,2349.0,24.0
Russian Federation,2002,7282.0,4704.0,2669.0,21.0
Russian Federation,2003,7498.0,4950.0,2412.0,28.0
Russian Federation,2004,7217.0,4994.0,2262.0,31.0
Russian Federation,2005,7501.0,4914.0,2812.0,53.0
Russian Federation,2006,8012.0,5236.0,2831.0,51.0
Russian Federation,2007,8637.0,5756.0,2944.0,57.0
Russian Federation,2008,9320.0,6268.0,3139.0,77.0
Russian Federation,2009,9159.0,6719.0,2518.0,66.0
Russian Federation,2010,9387.0,7167.0,2278.0,39.0
Russian Federation,2011,9503.0,7519.0,2075.0,66.0
Russian Federation,2012,10418.0,8090.0,2429.0,73.0
Russian Federation,2013,10687.0,8544.0,2286.0,104.0
Russian Federation,2014,10616.0,9074.0,1708.0,104.0
Russian Federation,2015,10584.0,9570.0,1157.0,128.0
Russian Federation,2016,10653.0,9858.0,1016.0,177.0
Russian Federation,2017,11111.0,10323.0,1050.0,214.0
Russian Federation,2018,11018.0,10634.0,740.0,312.0
Russian Federation,2019,11140.0,10871.0,705.0,377.0
Russian Federation,2020,11223.0,11226.0,571.0,453.0
