Country,Year,Nuts and products Food,Nuts and products Production,Nuts and products Import Quantity,Nuts and products Export Quantity,Peoples,ElValue
Russian Federation,1992,12.0,4.0,10.0,1.0,148725601,14904.3
Russian Federation,1993,12.0,5.0,9.0,1.0,148897270,14892.0
Russian Federation,1994,31.0,8.0,24.0,1.0,148829113,15465.2
Russian Federation,1995,38.0,9.0,29.0,0.0,148557451,15602.2
Russian Federation,1996,38.0,9.0,30.0,1.0,148233411,15503.6
Russian Federation,1997,38.0,9.0,31.0,1.0,147939972,15793.7
Russian Federation,1998,48.0,12.0,38.0,2.0,147672728,15842.6
Russian Federation,1999,16.0,10.0,17.0,12.0,147336388,16031.4
Russian Federation,2000,24.0,15.0,24.0,15.0,146844839,16983.2
Russian Federation,2001,49.0,19.0,48.0,18.0,146235530,16970.6
Russian Federation,2002,47.0,12.0,47.0,9.0,145590136,17021.5
Russian Federation,2003,72.0,13.0,73.0,12.0,144946723,17036.9
Russian Federation,2004,91.0,25.0,92.0,25.0,144353636,17004.2
Russian Federation,2005,89.0,11.0,89.0,12.0,143800049,16908.4
Russian Federation,2006,89.0,5.0,91.0,11.0,143338669,16769.3
Russian Federation,2007,119.0,12.0,127.0,14.0,143117693,16180.4
Russian Federation,2008,155.0,8.0,159.0,8.0,143086549,15524.1
Russian Federation,2009,125.0,9.0,124.0,18.0,143163643,14830.1
Russian Federation,2010,141.0,9.0,145.0,12.0,143242599,15885.0
Russian Federation,2011,149.0,10.0,154.0,6.0,143364543,15525.1
Russian Federation,2012,156.0,11.0,161.0,25.0,143629362,15278.2
Russian Federation,2013,137.0,13.0,138.0,21.0,143956866,15286.5
Russian Federation,2014,50.0,15.0,57.0,35.0,144285070,15947.4
Russian Federation,2015,21.0,16.0,26.0,40.0,144668389,16756.8
Russian Federation,2016,23.0,21.0,26.0,42.0,145109157,17161.9
Russian Federation,2017,30.0,18.0,35.0,41.0,145452536,18171.1
Russian Federation,2018,42.0,20.0,41.0,18.0,145652293,18797.7
Russian Federation,2019,54.0,20.0,52.0,15.0,145742286,19708.5
Russian Federation,2020,50.0,21.0,49.0,17.0,145617329,19739.9
