Country,Year,Oil and animal fat Food,Oil and animal fat Production,Oil and animal fat Import Quantity,Oil and animal fat Export Quantity,Peoples,ElValue
Russian Federation,1992,3821.0,4483.0,968.0,80.0,148725601,14904.3
Russian Federation,1993,3940.0,4538.0,642.0,93.0,148897270,14892.0
Russian Federation,1994,3405.0,3423.0,607.0,205.0,148829113,15465.2
Russian Federation,1995,3497.0,3018.0,1427.0,46.0,148557451,15602.2
Russian Federation,1996,3349.0,2996.0,1018.0,82.0,148233411,15503.6
Russian Federation,1997,3346.0,2710.0,1996.0,83.0,147939972,15793.7
Russian Federation,1998,3372.0,2652.0,1460.0,86.0,147672728,15842.6
Russian Federation,1999,3441.0,2722.0,1728.0,83.0,147336388,16031.4
Russian Federation,2000,3633.0,3775.0,1330.0,429.0,146844839,16983.2
Russian Federation,2001,3697.0,3628.0,1709.0,271.0,146235530,16970.6
Russian Federation,2002,3709.0,3609.0,1825.0,191.0,145590136,17021.5
Russian Federation,2003,3882.0,4414.0,1654.0,213.0,144946723,17036.9
Russian Federation,2004,3984.0,4919.0,1483.0,356.0,144353636,17004.2
Russian Federation,2005,4133.0,5436.0,1708.0,704.0,143800049,16908.4
Russian Federation,2006,4382.0,6540.0,1583.0,1505.0,143338669,16769.3
Russian Federation,2007,4346.0,6517.0,1710.0,1368.0,143117693,16180.4
Russian Federation,2008,4368.0,5908.0,1895.0,1201.0,143086549,15524.1
Russian Federation,2009,4418.0,7240.0,1392.0,1840.0,143163643,14830.1
Russian Federation,2010,4602.0,6753.0,1771.0,1197.0,143242599,15885.0
Russian Federation,2011,4656.0,6787.0,1671.0,1371.0,143364543,15525.1
Russian Federation,2012,4778.0,9004.0,1576.0,3484.0,143629362,15278.2
Russian Federation,2013,4973.0,8564.0,1698.0,3464.0,143956866,15286.5
Russian Federation,2014,5254.0,10954.0,1430.0,4353.0,144285070,15947.4
Russian Federation,2015,5085.0,10304.0,1470.0,3847.0,144668389,16756.8
Russian Federation,2016,5340.0,11311.0,1461.0,4643.0,145109157,17161.9
Russian Federation,2017,5275.0,12466.0,1530.0,5911.0,145452536,18171.1
Russian Federation,2018,5275.0,12611.0,1806.0,5764.0,145652293,18797.7
Russian Federation,2019,5176.0,14263.0,1925.0,8021.0,145742286,19708.5
Russian Federation,2020,5334.0,15577.0,1855.0,8405.0,145617329,19739.9
