Country,Year,Peas Food,Peas Production,Peas Import Quantity,Peas Export Quantity
Russian Federation,1960,701.0,3100.0,0.0,6.0
Russian Federation,1961,703.0,3008.0,0.0,10.0
Russian Federation,1962,804.0,4852.0,0.0,4.0
Russian Federation,1963,904.0,5934.0,0.0,16.0
Russian Federation,1964,100.0,7710.0,0.0,18.0
Russian Federation,1965,914.0,4255.0,0.0,21.0
Russian Federation,1966,885.0,4360.0,0.0,536.0
Russian Federation,1967,865.0,3792.0,0.0,428.0
Russian Federation,1968,864.0,4432.0,0.0,63.0
Russian Federation,1969,874.0,4844.0,0.0,116.0
Russian Federation,1970,875.0,4508.0,0.0,393.0
Russian Federation,1971,885.0,4420.0,0.0,41.0
Russian Federation,1972,896.0,4580.0,0.0,130.0
Russian Federation,1973,835.0,5581.0,0.0,32.0
Russian Federation,1974,864.0,5000.0,0.0,30.0
Russian Federation,1975,925.0,3700.0,0.0,39.0
Russian Federation,1976,917.0,5335.0,0.0,28.0
Russian Federation,1977,886.0,5180.0,0.0,32.0
Russian Federation,1978,786.0,4005.0,0.0,43.0
Russian Federation,1979,748.0,3200.0,0.0,52.0
Russian Federation,1980,725.0,5040.0,0.0,54.0
Russian Federation,1981,696.0,3478.0,0.0,32.0
Russian Federation,1982,686.0,3340.0,0.0,44.0
Russian Federation,1983,600.0,3425.0,0.0,39.0
Russian Federation,1984,560.0,3408.0,9.0,47.0
Russian Federation,1985,602.0,3860.0,10.0,61.0
Russian Federation,1986,397.0,3578.0,8.0,64.0
Russian Federation,1987,442.0,3460.0,10.0,66.0
Russian Federation,1988,388.0,3760.0,4.0,62.0
Russian Federation,1989,433.0,3336.0,0.0,60.0
Russian Federation,1990,499.0,3660.0,8.0,52.0
Russian Federation,1991,419.0,3255.0,4.0,50.0
Russian Federation,1992,450.0,2607.0,1.0,13.0
Russian Federation,1993,400.0,2526.0,0.0,34.0
Russian Federation,1994,365.0,2287.0,0.0,52.0
Russian Federation,1995,220.0,1212.0,0.0,123.0
Russian Federation,1996,200.0,1323.0,19.0,11.0
Russian Federation,1997,150.0,1196.0,21.0,2.0
Russian Federation,1998,120.0,660.0,12.0,10.0
Russian Federation,1999,130.0,598.0,36.0,1.0
Russian Federation,2000,160.0,815.0,44.0,2.0
Russian Federation,2001,150.0,1272.0,40.0,19.0
Russian Federation,2002,170.0,1268.0,5.0,131.0
Russian Federation,2003,230.0,1052.0,5.0,44.0
Russian Federation,2004,250.0,1243.0,8.0,88.0
Russian Federation,2005,250.0,1127.0,10.0,89.0
Russian Federation,2006,260.0,1151.0,12.0,92.0
Russian Federation,2007,220.0,863.0,7.0,21.0
Russian Federation,2008,250.0,1257.0,16.0,41.0
Russian Federation,2009,260.0,1349.0,11.0,255.0
Russian Federation,2010,260.0,1218.0,10.0,152.0
Russian Federation,2011,260.0,2021.0,12.0,461.0
Russian Federation,2012,260.0,1660.0,8.0,593.0
Russian Federation,2013,260.0,1350.0,9.0,336.0
Russian Federation,2014,261.0,1503.0,11.0,312.0
Russian Federation,2015,258.0,1716.0,10.0,588.0
Russian Federation,2016,258.0,2198.0,11.0,702.0
Russian Federation,2017,260.0,3286.0,12.0,1043.0
Russian Federation,2018,263.0,2304.0,9.0,1144.0
Russian Federation,2019,245.0,2369.0,13.0,595.0
Russian Federation,2020,300.0,2740.0,13.0,712.0
