Country,Year,Pigmeat Food,Pigmeat Production,Pigmeat Import Quantity,Pigmeat Export Quantity,Peoples,ElValue
Russian Federation,1992,2912.0,2784.0,342.0,0.0,148725601,14904.3
Russian Federation,1993,2837.0,2432.0,415.0,0.0,148897270,14892.0
Russian Federation,1994,2339.0,2103.0,429.0,2.0,148829113,15465.2
Russian Federation,1995,2458.0,1865.0,578.0,2.0,148557451,15602.2
Russian Federation,1996,2423.0,1705.0,578.0,9.0,148233411,15503.6
Russian Federation,1997,1939.0,1546.0,774.0,17.0,147939972,15793.7
Russian Federation,1998,2173.0,1505.0,760.0,9.0,147672728,15842.6
Russian Federation,1999,2281.0,1485.0,499.0,5.0,147336388,16031.4
Russian Federation,2000,1943.0,1569.0,252.0,13.0,146844839,16983.2
Russian Federation,2001,1905.0,1498.0,422.0,13.0,146235530,16970.6
Russian Federation,2002,2162.0,1583.0,658.0,13.0,145590136,17021.5
Russian Federation,2003,2317.0,1706.0,569.0,17.0,144946723,17036.9
Russian Federation,2004,2133.0,1643.0,516.0,21.0,144353636,17004.2
Russian Federation,2005,2104.0,1520.0,622.0,32.0,143800049,16908.4
Russian Federation,2006,2309.0,1641.0,709.0,39.0,143338669,16769.3
Russian Federation,2007,2574.0,1873.0,750.0,46.0,143117693,16180.4
Russian Federation,2008,2872.0,2042.0,895.0,59.0,143086549,15524.1
Russian Federation,2009,2843.0,2169.0,731.0,52.0,143163643,14830.1
Russian Federation,2010,3133.0,2331.0,832.0,26.0,143242599,15885.0
Russian Federation,2011,3252.0,2428.0,889.0,58.0,143364543,15525.1
Russian Federation,2012,3526.0,2559.0,1030.0,54.0,143629362,15278.2
Russian Federation,2013,3665.0,2816.0,919.0,64.0,143956866,15286.5
Russian Federation,2014,3487.0,2974.0,580.0,63.0,144285070,15947.4
Russian Federation,2015,3477.0,3099.0,443.0,62.0,144668389,16756.8
Russian Federation,2016,3679.0,3355.0,403.0,75.0,145109157,17161.9
Russian Federation,2017,3864.0,3516.0,436.0,84.0,145452536,18171.1
Russian Federation,2018,3789.0,3744.0,143.0,92.0,145652293,18797.7
Russian Federation,2019,3952.0,3937.0,147.0,126.0,145742286,19708.5
Russian Federation,2020,4115.0,4282.0,59.0,220.0,145617329,19739.9
