Country,Year,Poultry Meat Food,Poultry Meat Production,Poultry Meat Import Quantity,Poultry Meat Export Quantity
Russian Federation,1960,821.0,817.0,4.0,1.0
Russian Federation,1961,817.0,813.0,5.0,1.0
Russian Federation,1962,827.0,822.0,5.0,0.0
Russian Federation,1963,808.0,802.0,6.0,0.0
Russian Federation,1964,622.0,606.0,16.0,0.0
Russian Federation,1965,713.0,696.0,17.0,0.0
Russian Federation,1966,758.0,745.0,13.0,0.0
Russian Federation,1967,792.0,764.0,28.0,0.0
Russian Federation,1968,844.0,817.0,27.0,0.0
Russian Federation,1969,891.0,866.0,26.0,1.0
Russian Federation,1970,1132.0,1071.0,61.0,0.0
Russian Federation,1971,1270.0,1183.0,87.0,0.0
Russian Federation,1972,1282.0,1237.0,45.0,0.0
Russian Federation,1973,1338.0,1295.0,43.0,0.0
Russian Federation,1974,1496.0,420.0,76.0,0.0
Russian Federation,1975,1573.0,525.0,48.0,0.0
Russian Federation,1976,1472.0,414.0,58.0,0.0
Russian Federation,1977,1808.0,691.0,124.0,7.0
Russian Federation,1978,1953.0,902.0,51.0,0.0
Russian Federation,1979,1174.0,1034.0,140.0,0.0
Russian Federation,1980,1295.0,1136.0,159.0,2.0
Russian Federation,1981,1508.0,1255.0,253.0,2.0
Russian Federation,1982,1685.0,1425.0,260.0,2.0
Russian Federation,1983,1802.0,1596.0,206.0,2.0
Russian Federation,1984,1800.0,1686.0,114.0,2.0
Russian Federation,1985,1957.0,1816.0,141.0,2.0
Russian Federation,1986,1163.0,1988.0,175.0,2.0
Russian Federation,1987,1296.0,1127.0,169.0,2.0
Russian Federation,1988,1414.0,1235.0,179.0,2.0
Russian Federation,1989,1436.0,1300.0,136.0,0.0
Russian Federation,1990,1561.0,1284.0,277.0,0.0
Russian Federation,1991,1253.0,1093.0,160.0,0.0
Russian Federation,1992,1484.0,1428.0,256.0,0.0
Russian Federation,1993,1455.0,1277.0,179.0,1.0
Russian Federation,1994,1599.0,1068.0,538.0,7.0
Russian Federation,1995,1717.0,859.0,864.0,6.0
Russian Federation,1996,1437.0,690.0,765.0,19.0
Russian Federation,1997,1751.0,630.0,1126.0,5.0
Russian Federation,1998,1513.0,690.0,826.0,3.0
Russian Federation,1999,980.0,48.0,233.0,1.0
Russian Federation,2000,1442.0,755.0,691.0,3.0
Russian Federation,2001,2141.0,862.0,1390.0,4.0
Russian Federation,2002,2317.0,938.0,1381.0,1.0
Russian Federation,2003,2341.0,1030.0,1205.0,1.0
Russian Federation,2004,2268.0,1152.0,1117.0,1.0
Russian Federation,2005,2506.0,1346.0,1333.0,10.0
Russian Federation,2006,2859.0,1580.0,1282.0,3.0
Russian Federation,2007,3165.0,1869.0,1300.0,3.0
Russian Federation,2008,3223.0,2001.0,1229.0,6.0
Russian Federation,2009,3278.0,2313.0,972.0,5.0
Russian Federation,2010,3205.0,2563.0,659.0,7.0
Russian Federation,2011,3314.0,2895.0,434.0,2.0
Russian Federation,2012,3818.0,3299.0,543.0,11.0
Russian Federation,2013,3928.0,3457.0,530.0,3.0
Russian Federation,2014,4151.0,3770.0,452.0,9.0
Russian Federation,2015,4278.0,4088.0,252.0,6.0
Russian Federation,2016,4345.0,4232.0,222.0,9.0
Russian Federation,2017,4634.0,4542.0,226.0,16.0
Russian Federation,2018,4558.0,4543.0,225.0,93.0
Russian Federation,2019,4572.0,4606.0,232.0,23.0
Russian Federation,2020,4491.0,4577.0,229.0,24.0
