Country,Year,Vegetables Food,Vegetables Production,Vegetables Import Quantity,Vegetables Export Quantity
Russian Federation,1960,12365.0,14134.0,150.0,17.0
Russian Federation,1961,12481.0,14259.0,156.0,11.0
Russian Federation,1962,12797.0,14866.0,161.0,30.0
Russian Federation,1963,11902.0,13917.0,177.0,20.0
Russian Federation,1964,11042.0,18846.0,312.0,19.0
Russian Federation,1965,11424.0,16571.0,228.0,26.0
Russian Federation,1966,11599.0,16813.0,268.0,25.0
Russian Federation,1967,11005.0,18864.0,334.0,26.0
Russian Federation,1968,11604.0,17517.0,311.0,32.0
Russian Federation,1969,11756.0,16817.0,838.0,22.0
Russian Federation,1970,11652.0,17990.0,889.0,63.0
Russian Federation,1971,11724.0,18402.0,883.0,45.0
Russian Federation,1972,11133.0,17566.0,820.0,55.0
Russian Federation,1973,11539.0,12186.0,930.0,75.0
Russian Federation,1974,11575.0,10764.0,1538.0,68.0
Russian Federation,1975,12332.0,19545.0,1485.0,73.0
Russian Federation,1976,12110.0,10564.0,1567.0,65.0
Russian Federation,1977,12707.0,10173.0,1613.0,92.0
Russian Federation,1978,12341.0,12219.0,1617.0,25.0
Russian Federation,1979,12139.0,10746.0,1608.0,22.0
Russian Federation,1980,12830.0,12479.0,1613.0,44.0
Russian Federation,1981,12964.0,11922.0,1644.0,32.0
Russian Federation,1982,12016.0,14866.0,1703.0,30.0
Russian Federation,1983,12119.0,14628.0,1654.0,35.0
Russian Federation,1984,12453.0,15776.0,1674.0,32.0
Russian Federation,1985,22224.0,13182.0,1743.0,33.0
Russian Federation,1986,12308.0,13387.0,1759.0,26.0
Russian Federation,1987,12188.0,13958.0,1737.0,28.0
Russian Federation,1988,12943.0,14708.0,1708.0,26.0
Russian Federation,1989,12114.0,13321.0,1529.0,24.0
Russian Federation,1990,12530.0,12244.0,1439.0,64.0
Russian Federation,1991,12274.0,12249.0,1377.0,27.0
Russian Federation,1992,11915.0,10716.0,3658.0,12.0
Russian Federation,1993,10784.0,10400.0,1781.0,16.0
Russian Federation,1994,10268.0,10060.0,1379.0,37.0
Russian Federation,1995,11430.0,11819.0,1066.0,27.0
Russian Federation,1996,11287.0,11175.0,1313.0,24.0
Russian Federation,1997,11964.0,11773.0,1941.0,14.0
Russian Federation,1998,11722.0,10986.0,1714.0,29.0
Russian Federation,1999,12515.0,12478.0,1969.0,28.0
Russian Federation,2000,12954.0,12453.0,1681.0,47.0
Russian Federation,2001,13188.0,13259.0,1519.0,48.0
Russian Federation,2002,13409.0,13032.0,1765.0,28.0
Russian Federation,2003,13966.0,14777.0,2304.0,52.0
Russian Federation,2004,14676.0,14809.0,2510.0,64.0
Russian Federation,2005,15303.0,16126.0,2899.0,80.0
Russian Federation,2006,15757.0,16629.0,3214.0,66.0
Russian Federation,2007,14894.0,12368.0,3441.0,55.0
Russian Federation,2008,14906.0,14349.0,3665.0,78.0
Russian Federation,2009,15158.0,14827.0,3347.0,87.0
Russian Federation,2010,15007.0,13283.0,3643.0,42.0
Russian Federation,2011,15720.0,15907.0,3719.0,37.0
Russian Federation,2012,16073.0,16086.0,3301.0,59.0
Russian Federation,2013,16217.0,16120.0,3538.0,79.0
Russian Federation,2014,16543.0,16894.0,3229.0,64.0
Russian Federation,2015,16478.0,17786.0,2419.0,186.0
Russian Federation,2016,13935.0,15075.0,1887.0,240.0
Russian Federation,2017,14670.0,15444.0,2282.0,222.0
Russian Federation,2018,15113.0,15686.0,2466.0,256.0
Russian Federation,2019,15164.0,15938.0,2327.0,318.0
Russian Federation,2020,14513.0,15535.0,1938.0,338.0
