Country,Year,Wheat and products Food,Wheat and products Production,Wheat and products Import Quantity,Wheat and products Export Quantity
Russian Federation,1960,16300.0,30987.0,4607.0,5034.0
Russian Federation,1961,16400.0,32494.0,4706.0,5134.0
Russian Federation,1962,16800.0,36530.0,4750.0,5097.0
Russian Federation,1963,17200.0,36700.0,3422.0,4471.0
Russian Federation,1964,16553.0,39935.0,4580.0,2457.0
Russian Federation,1965,16920.0,36105.0,6770.0,2015.0
Russian Federation,1966,16393.0,34469.0,5047.0,3211.0
Russian Federation,1967,15776.0,32774.0,2110.0,5784.0
Russian Federation,1968,15690.0,37789.0,1691.0,5106.0
Russian Federation,1969,15791.0,35122.0,2510.0,6768.0
Russian Federation,1970,16664.0,33750.0,2228.0,5880.0
Russian Federation,1971,16026.0,32834.0,2731.0,8476.0
Russian Federation,1972,16086.0,30833.0,8528.0,4412.0
Russian Federation,1973,15864.0,30319.0,1560.0,5017.0
Russian Federation,1974,15638.0,38878.0,3273.0,6484.0
Russian Federation,1975,14158.0,32250.0,9661.0,3411.0
Russian Federation,1976,24453.0,31086.0,7173.0,1624.0
Russian Federation,1977,24463.0,36668.0,7117.0,2896.0
Russian Federation,1978,25178.0,31355.0,9342.0,2136.0
Russian Federation,1979,25274.0,34886.0,10265.0,3576.0
Russian Federation,1980,25641.0,42500.0,16183.0,2040.0
Russian Federation,1981,25802.0,46650.0,18543.0,2335.0
Russian Federation,1982,26693.0,49757.0,22127.0,1945.0
Russian Federation,1983,26795.0,43748.0,22206.0,2070.0
Russian Federation,1984,27436.0,44960.0,27401.0,1926.0
Russian Federation,1985,28462.0,43200.0,21663.0,1658.0
Russian Federation,1986,29359.0,46573.0,16026.0,1527.0
Russian Federation,1987,29744.0,47331.0,18379.0,1802.0
Russian Federation,1988,20192.0,48826.0,21399.0,1636.0
Russian Federation,1989,20000.0,47162.0,14514.0,1322.0
Russian Federation,1990,21282.0,40188.0,15370.0,1066.0
Russian Federation,1991,22962.0,41991.0,20059.0,1080.0
Russian Federation,1992,19217.0,46167.0,19193.0,987.0
Russian Federation,1993,19222.0,43547.0,6474.0,948.0
Russian Federation,1994,20116.0,32129.0,2712.0,732.0
Russian Federation,1995,19851.0,30119.0,2757.0,676.0
Russian Federation,1996,19303.0,34917.0,3655.0,441.0
Russian Federation,1997,19632.0,44258.0,3446.0,626.0
Russian Federation,1998,19466.0,27012.0,1922.0,1263.0
Russian Federation,1999,19184.0,30995.0,4798.0,858.0
Russian Federation,2000,18860.0,34455.0,2897.0,683.0
Russian Federation,2001,19425.0,46982.0,1142.0,1903.0
Russian Federation,2002,19440.0,50609.0,801.0,1477.0
Russian Federation,2003,19125.0,34104.0,816.0,3041.0
Russian Federation,2004,18877.0,45413.0,2075.0,4943.0
Russian Federation,2005,19231.0,47698.0,965.0,6729.0
Russian Federation,2006,18988.0,44927.0,1652.0,8068.0
Russian Federation,2007,18884.0,49368.0,723.0,10941.0
Russian Federation,2008,18734.0,63765.0,438.0,12473.0
Russian Federation,2009,18590.0,61740.0,300.0,17461.0
Russian Federation,2010,19043.0,41508.0,328.0,12160.0
Russian Federation,2011,18680.0,56240.0,450.0,16209.0
Russian Federation,2012,19178.0,37720.0,720.0,16515.0
Russian Federation,2013,18710.0,52091.0,1360.0,14243.0
Russian Federation,2014,19318.0,59711.0,760.0,22542.0
Russian Federation,2015,20454.0,61786.0,629.0,21849.0
Russian Federation,2016,20575.0,73346.0,821.0,25918.0
Russian Federation,2017,20729.0,86003.0,543.0,33584.0
Russian Federation,2018,19442.0,72136.0,686.0,44639.0
Russian Federation,2019,19413.0,74453.0,560.0,32674.0
Russian Federation,2020,19174.0,85896.0,524.0,38037.0
